WBAN,Date,Time,SkyCondition,Visibility,TempC,RelativeHumidity,WindSpeed,WindDirection,StationPressure,,,
4916,20100101,15,CLR,10,-17,95,5,290,29.03,,,
4916,20100101,35,CLR,10,-17,95,3,290,29.03,,,
4916,20100101,55,CLR,10,-17,87,3,290,29.03,,,
4916,20100101,115,CLR,10,-17,87,5,280,29.03,,,
4916,20100101,135,CLR,10,-17,79,3,280,29.03,,,
4916,20100101,155,CLR,10,-18,83,5,280,29.04,,,
4916,20100101,215,CLR,10,-18,83,5,290,29.04,,,
4916,20100101,235,CLR,10,-18,83,0,0,29.04,,,
4916,20100101,255,SCT065,10,-18,83,0,0,29.05,,,
4916,20100101,315,BKN065,10,-18,83,0,0,29.05,,,
4916,20100101,335,BKN065 OVC080,10,-18,83,3,290,29.05,,,
4916,20100101,355,SCT065 SCT075,10,-19,83,0,0,29.07,,,
4916,20100101,415,BKN065,10,-18,75,0,0,29.07,,,
4916,20100101,435,SCT065,10,-18,83,0,0,29.05,,,
4916,20100101,455,SCT055,10,-18,83,0,0,29.05,,,
4916,20100101,515,OVC055,10,-18,75,0,0,29.07,,,
4916,20100101,535,SCT055,10,-19,83,3,280,29.07,,,
4916,20100101,555,CLR,10,-18,75,0,0,29.07,,,
4916,20100101,615,CLR,10,-19,83,3,270,29.07,,,
4916,20100101,635,CLR,10,-19,83,0,0,29.07,,,
4916,20100101,655,CLR,10,-19,83,0,0,29.08,,,
4916,20100101,715,CLR,10,-20,91,5,270,29.08,,,
4916,20100101,735,CLR,10,-19,83,0,0,29.08,,,
4916,20100101,755,CLR,10,-19,83,0,0,29.09,,,
4916,20100101,815,CLR,10,-18,83,3,290,29.09,,,
4916,20100101,835,SCT029,10,-18,83,3,290,29.09,,,
4916,20100101,1635,CLR,10,-13,76,5,300,29.16,,,
4916,20100101,1655,CLR,10,-14,76,6,280,29.16,,,
4916,20100101,1715,CLR,10,-15,83,3,280,29.17,,,
4916,20100101,1735,CLR,10,-15,80,5,280,29.17,,,
4916,20100101,1815,CLR,10,-16,87,3,310,29.18,,,
4916,20100101,1835,CLR,10,-16,79,5,300,29.18,,,
4916,20100101,1855,CLR,10,-17,87,5,300,29.18,,,
4916,20100101,1915,CLR,10,-17,79,3,300,29.19,,,
